Player Name,NBA Player ID,Headshot URL,Headshot File
Isaiah Collier,1642268,https://cdn.nba.com/headshots/nba/latest/1040x760/1642268.png,isaiah_collier.png
Keyonte George,1641718,https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png,keyonte_george.png
Ace Bailey,1642846,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png,ace_bailey.png
Lauri Markkanen,1628374,https://cdn.nba.com/headshots/nba/latest/1040x760/1628374.png,lauri_markkanen.png
Walker Kessler,1631117,https://cdn.nba.com/headshots/nba/latest/1040x760/1631117.png,walker_kessler.png
CJ McCollum,203468,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png,cj_mccollum.png
Khris Middleton,203114,https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png,khris_middleton.png
Bilal Coulibaly,1641731,https://cdn.nba.com/headshots/nba/latest/1040x760/1641731.png,bilal_coulibaly.png
Kyshawn George,1642273,https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png,kyshawn_george.png
Alex Sarr,1642259,https://cdn.nba.com/headshots/nba/latest/1040x760/1642259.png,alex_sarr.png
